@vsv1938m-text	@vsv1938m	00:07:14.016	434.016	00:07:14.533	434.533	00:00:00.517	0.517	например
@vsv1938m-text	@vsv1938m	00:07:14.816	434.816	00:07:17.716	437.716	00:00:02.900	2.9	ну каждый балуется в юности стихами и всё
@vsv1938m-text	@vsv1938m	00:07:18.016	438.016	00:07:19.449	439.449	00:00:01.433	1.433	потом как-то это уходит
@vsv1938m-text	@vsv1938m	00:07:19.616	439.616	00:07:20.949	440.949	00:00:01.333	1.333	считают это баловством
@vsv1938m-text	@vsv1938m	00:07:21.416	441.416	00:07:22.816	442.816	00:00:01.400	1.4	я продолжил писать
@vsv1938m-text	@vsv1938m	00:07:23.016	443.016	00:07:23.216	443.216	00:00:00.200	0.2	ну
@vsv1938m-text	@vsv1938m	00:07:23.616	443.616	00:07:26.116	446.116	00:00:02.500	2.5	во-первых потому что я начал писать под музыку
@vsv1938m-text	@vsv1938m	00:07:26.616	446.616	00:07:32.833	452.833	00:00:06.217	6.217	а во-вторых потому что я еще попал в этот театр где это было подхвачено и сразу шеф захотел чтобы это звучало в спектаклях
@vsv1938m-text	@vsv1938m	00:07:33.416	453.416	00:07:34.016	454.016	00:00:00.600	0.6	так что в общем
@vsv1938m-text	@vsv1938m	00:07:34.216	454.216	00:07:35.383	455.383	00:00:01.167	1.167	мне не дали прекратить
@vsv1938m-text	@vsv1938m	00:07:35.633	455.633	00:07:38.799	458.799	00:00:03.166	3.166	да и в общем-то я думаю сам не смог прекратить потому что
@vsv1938m-text	@vsv1938m	00:07:39.216	459.216	00:07:41.016	461.016	00:00:01.800	1.8	тянет к столу и ты
@vsv1938m-text	@vsv1938m	00:07:41.311	461.311	00:07:42.613	462.613	00:00:01.302	1.302	не можешь от этого уйти
@vsv1938m-text	@vsv1938m	00:07:43.009	463.009	00:07:44.513	464.513	00:00:01.504	1.504	а чем бы вы хотели мне помочь?
@vsv1938m-text	@vsv1938m	00:07:48.704	468.704	00:07:48.892	468.892	00:00:00.188	0.188	#цокает#
@vsv1938m-text	@vsv1938m	00:07:49.201	469.201	00:07:50.604	470.604	00:00:01.403	1.403	вы зна... ну что такое жанр?
@vsv1938m-text	@vsv1938m	00:07:51.302	471.302	00:07:51.604	471.604	00:00:00.302	0.302	нет
@vsv1938m-text	@vsv1938m	00:07:52.013	472.013	00:07:53.161	473.161	00:00:01.148	1.148	нет нет нет нет
@vsv1938m-text	@vsv1938m	00:07:53.812	473.812	00:07:55.161	475.161	00:00:01.349	1.349	у него городской романс
@vsv1938m-text	@vsv1938m	00:07:55.201	475.201	00:07:57.154	477.154	00:00:01.953	1.953	вы знаете мы... мы совсем разные
@vsv1938m-text	@vsv1938m	00:07:57.201	477.201	00:07:59.342	479.342	00:00:02.141	2.141	поэтому в общем-то собственно говоря вероятно
@vsv1938m-text	@vsv1938m	00:07:59.704	479.704	00:08:01.791	481.791	00:00:02.087	2.087	люди даже очень хорошие если они
@vsv1938m-text	@vsv1938m	00:08:02.006	482.006	00:08:07.315	487.315	00:00:05.309	5.309	работают в одном и том же жанре у них есть какое-то соревнование у нас с ним нет соревнования никаких
@vsv1938m-text	@vsv1938m	00:08:07.919	487.919	00:08:11.228	491.228	00:00:03.309	3.309	я пишу в очень в разных правда... правда в очень разных
@vsv1938m-text	@vsv1938m	00:08:11.503	491.503	00:08:12.899	492.899	00:00:01.396	1.396	жанрах поэтических
@vsv1938m-text	@vsv1938m	00:08:13.302	493.302	00:08:14.295	494.295	00:00:00.993	0.993	но всё равно это...
@vsv1938m-text	@vsv1938m	00:08:14.402	494.402	00:08:15.771	495.771	00:00:01.369	1.369	а если говорите описывать это
@vsv1938m-text	@vsv1938m	00:08:15.906	495.906	00:08:16.409	496.409	00:00:00.503	0.503	жанр
@vsv1938m-text	@vsv1938m	00:08:16.805	496.805	00:08:17.657	497.657	00:00:00.852	0.852	авторской
@vsv1938m-text	@vsv1938m	00:08:17.711	497.711	00:08:18.422	498.422	00:00:00.711	0.711	песни
@vsv1938m-text	@vsv1938m	00:08:19.006	499.006	00:08:20.308	500.308	00:00:01.302	1.302	авторской песни
@vsv1938m-text	@vsv1938m	00:08:20.812	500.812	00:08:23.120	503.12	00:00:02.308	2.308	вы понимаете вот например я считаю что кино
@vsv1938m-text	@vsv1938m	00:08:23.698	503.698	00:08:24.295	504.295	00:00:00.597	0.597	это
@vsv1938m-text	@vsv1938m	00:08:24.912	504.912	00:08:26.617	506.617	00:00:01.705	1.705	искусство режиссера
@vsv1938m-text	@vsv1938m	00:08:26.711	506.711	00:08:27.604	507.604	00:00:00.893	0.893	автора
@vsv1938m-text	@vsv1938m	00:08:28.006	508.006	00:08:30.308	510.308	00:00:02.302	2.302	если режиссер автор тогда есть кино
@vsv1938m-text	@vsv1938m	00:08:31.208	511.208	00:08:34.114	514.114	00:00:02.906	2.906	а если он просто ремесленник тогда кино нету
@vsv1938m-text	@vsv1938m	00:08:34.812	514.812	00:08:37.295	517.295	00:00:02.483	2.483	так же как вот и здесь вот в этих вот песнях вот
@vsv1938m-text	@vsv1938m	00:08:37.812	517.812	00:08:39.812	519.812	00:00:02.000	2.0	есть какая-то маленькая тонкость
@vsv1938m-text	@vsv1938m	00:08:40.107	520.107	00:08:40.510	520.51	00:00:00.403	0.403	это...
@vsv1938m-text	@vsv1938m	00:08:41.201	521.201	00:08:45.402	525.402	00:00:04.201	4.201	вы знаете вот если вы обратили внимание почти все мои песни написаны от первого лица
@vsv1938m-text	@vsv1938m	00:08:46.711	526.711	00:08:48.308	528.308	00:00:01.597	1.597	Булат реже это делает
@vsv1938m-text	@vsv1938m	00:08:48.899	528.899	00:08:52.805	532.805	00:00:03.906	3.906	ну я вам скажу я даже не хочу сранивать и вообще в этом разговоре его
@vsv1938m-text	@vsv1938m	00:08:53.013	533.013	00:08:56.174	536.174	00:00:03.161	3.161	упоминать... упомянуть хочу только с большим уважением
